epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.69051,2.19365,5.64687,1.70618,0,0,0,0,0.71165,4.49744,0.91242,0,0,0
2,4.83537,1.75711,4.79913,1.38179,0,0,0,0,0.7054,4.49445,0.91136,4.26387e-06,4.26387e-06,4.26387e-06
3,6.91193,2.2888,5.0261,1.51125,0,0,0,0,0.69757,4.49163,0.91032,8.35548e-06,8.35548e-06,8.35548e-06
4,9.21042,2.0286,5.09761,1.44285,0,0,0,0,0.69073,4.49107,0.90839,1.22748e-05,1.22748e-05,1.22748e-05
5,11.3326,2.25612,5.07502,1.52619,0,0,0,0,0.69427,4.48795,0.90738,1.60219e-05,1.60219e-05,1.60219e-05
6,13.3189,1.69287,4.9327,1.21624,0,0,0,0,0.70725,4.48281,0.90545,1.95967e-05,1.95967e-05,1.95967e-05
7,15.2088,2.53518,5.14837,1.62206,0,0,0,0,0.71484,4.47946,0.90358,2.29993e-05,2.29993e-05,2.29993e-05
8,17.1627,1.96825,5.11422,1.50478,0,0,0,0,0.70796,4.47473,0.90068,2.62296e-05,2.62296e-05,2.62296e-05
9,19.3336,2.19151,5.22271,1.52185,0,0,0,0,0.70836,4.46626,0.90152,2.92877e-05,2.92877e-05,2.92877e-05
10,21.4427,1.97968,5.11731,1.37827,0,0,0,0,0.7117,4.45838,0.89957,3.21735e-05,3.21735e-05,3.21735e-05
11,23.3699,2.32212,4.96354,1.5531,0,0,0,0,0.69908,4.46308,0.89999,3.4887e-05,3.4887e-05,3.4887e-05
12,25.3131,1.89041,4.90164,1.43724,0,0,0,0,0.69348,4.46621,0.89969,3.74283e-05,3.74283e-05,3.74283e-05
13,27.2221,3.23087,6.46412,2.09885,0,0,0,0,0.70205,4.46763,0.89948,3.97973e-05,3.97973e-05,3.97973e-05
14,29.3117,1.84845,4.71851,1.32842,0,0,0,0,0.71531,4.46541,0.89933,4.1994e-05,4.1994e-05,4.1994e-05
15,31.3997,1.9916,5.44713,1.45742,0,0,0,0,0.71707,4.4678,0.89806,4.40185e-05,4.40185e-05,4.40185e-05
16,33.4085,1.80061,4.82167,1.29847,0,0,0,0,0.72493,4.46806,0.89671,4.58707e-05,4.58707e-05,4.58707e-05
17,35.4548,1.8286,4.98364,1.58097,0,0,0,0,0.72916,4.46477,0.89571,4.75507e-05,4.75507e-05,4.75507e-05
18,37.3864,1.94912,4.7255,1.61929,0,0,0,0,0.72916,4.46477,0.89571,4.90584e-05,4.90584e-05,4.90584e-05
19,39.5294,2.27599,5.19634,1.84863,0,0,0,0,0.75338,4.45778,0.89538,5.03939e-05,5.03939e-05,5.03939e-05
20,41.6505,1.86815,4.4819,1.36626,0,0,0,0,0.75338,4.45778,0.89538,5.15571e-05,5.15571e-05,5.15571e-05
21,43.604,1.43977,4.66682,1.24941,0,0,0,0,0.76004,4.44881,0.8922,5.2548e-05,5.2548e-05,5.2548e-05
22,45.4351,1.52325,4.35495,1.32502,0,0,0,0,0.76004,4.44881,0.8922,5.33667e-05,5.33667e-05,5.33667e-05
23,47.5022,1.90273,4.63764,1.301,0,0,0,0,0.78873,4.43917,0.89192,5.40131e-05,5.40131e-05,5.40131e-05
24,49.6694,1.65224,4.65981,1.35843,0,0,0,0,0.78873,4.43917,0.89192,5.44872e-05,5.44872e-05,5.44872e-05
25,51.7985,1.92138,4.93278,1.32515,0,0,0,0,0.78933,4.44283,0.88823,5.47891e-05,5.47891e-05,5.47891e-05
26,53.7685,1.49751,4.67133,1.0855,0,0,0,0,0.78933,4.44283,0.88823,5.49188e-05,5.49188e-05,5.49188e-05
27,55.7048,1.62597,4.48369,1.21875,0,0,0,0,0.78936,4.43185,0.88715,5.48761e-05,5.48761e-05,5.48761e-05
28,57.7247,1.44231,4.26671,1.27277,0,0,0,0,0.78936,4.43185,0.88715,5.46612e-05,5.46612e-05,5.46612e-05
29,59.9111,1.82012,4.29226,1.2413,0.5,0.25,0.375,0.2625,0.79415,4.41683,0.88594,5.42741e-05,5.42741e-05,5.42741e-05
30,62.0505,1.94636,4.71275,1.68858,0.5,0.25,0.375,0.2625,0.79415,4.41683,0.88594,5.37147e-05,5.37147e-05,5.37147e-05
31,64.1241,2.2931,4.47595,1.57495,0.5,0.25,0.375,0.225,0.82576,4.39624,0.88396,5.2983e-05,5.2983e-05,5.2983e-05
32,65.9723,1.85154,4.47358,1.14706,0.5,0.25,0.375,0.225,0.82576,4.39624,0.88396,5.20791e-05,5.20791e-05,5.20791e-05
33,68.0252,1.76175,4.2105,1.30411,0.5,0.25,0.375,0.225,0.86336,4.38622,0.87483,5.10029e-05,5.10029e-05,5.10029e-05
34,70.1924,1.91971,4.7698,1.64684,0.5,0.25,0.375,0.225,0.86336,4.38622,0.87483,4.97544e-05,4.97544e-05,4.97544e-05
35,72.3555,1.88478,4.35317,1.40388,0.5,0.25,0.375,0.2625,0.87863,4.37709,0.87121,4.83337e-05,4.83337e-05,4.83337e-05
36,74.3898,1.67432,4.01742,1.25163,0.5,0.25,0.375,0.2625,0.87863,4.37709,0.87121,4.67408e-05,4.67408e-05,4.67408e-05
37,76.3298,1.91176,3.80751,1.39054,0.5,0.25,0.375,0.2625,0.86468,4.37304,0.8656,4.49755e-05,4.49755e-05,4.49755e-05
38,78.3271,1.81404,3.92049,1.41608,0.5,0.25,0.375,0.2625,0.86468,4.37304,0.8656,4.3038e-05,4.3038e-05,4.3038e-05
39,80.5035,1.8102,4.04839,1.48718,0.25,0.25,0.31125,0.21787,0.86143,4.35747,0.86412,4.09283e-05,4.09283e-05,4.09283e-05
40,82.5176,2.40363,5.00862,1.92268,0.25,0.25,0.31125,0.21787,0.86143,4.35747,0.86412,3.86463e-05,3.86463e-05,3.86463e-05
41,84.5117,2.25331,4.62988,1.80505,0.16667,0.25,0.29,0.203,0.8611,4.33658,0.8638,3.6192e-05,3.6192e-05,3.6192e-05
42,86.4554,2.28087,5.16774,1.68451,0.16667,0.25,0.29,0.203,0.8611,4.33658,0.8638,3.35655e-05,3.35655e-05,3.35655e-05
43,88.4039,1.78896,4.13958,1.12072,0.16667,0.25,0.29,0.203,0.87265,4.31722,0.86046,3.07667e-05,3.07667e-05,3.07667e-05
44,90.4822,1.68938,3.89474,1.41574,0.16667,0.25,0.29,0.203,0.87265,4.31722,0.86046,2.77956e-05,2.77956e-05,2.77956e-05
45,92.5137,1.84899,4.13138,1.3192,0.16667,0.25,0.29,0.203,0.87531,4.29315,0.85872,2.46523e-05,2.46523e-05,2.46523e-05
46,94.4077,1.86554,4.43934,1.37924,0.16667,0.25,0.29,0.203,0.87531,4.29315,0.85872,2.13367e-05,2.13367e-05,2.13367e-05
47,96.3606,1.42451,3.93195,1.13501,0.125,0.25,0.27938,0.19556,0.88314,4.26805,0.85742,1.78489e-05,1.78489e-05,1.78489e-05
48,98.245,1.4774,4.34479,1.16773,0.125,0.25,0.27938,0.19556,0.88314,4.26805,0.85742,1.41888e-05,1.41888e-05,1.41888e-05
49,100.43,1.65608,3.67512,1.23709,0.125,0.25,0.27938,0.19556,0.8791,4.25432,0.85239,1.03565e-05,1.03565e-05,1.03565e-05
50,102.55,1.90107,4.19627,1.4106,0.125,0.25,0.27938,0.19556,0.8791,4.25432,0.85239,6.35187e-06,6.35187e-06,6.35187e-06
